IFPID,Question,Description,Rolling Bins,# of Bins,Values Type,Range Low,Range High,Units,State,Start Date,Suspend Date,Closed As Of Date,Outcome
"1419","When will the World Trade Organization's Trade Facilitation Agreement (TFA) protocol be approved by all WTO members?","On 31 July 2014, India refused to approve the WTO's Trade Facilitation Agreement (TFA), citing concerns about the WTO's food subsidy rules; a ""yes"" resolution requires that all member states reach a consensus to approve the TFA protocol (http://www.reuters.com/article/2014/07/31/us-india-trade-wto-idUSKBN0G009R20140731). The TFA does not need to be domestically ratified by member states nor does it need to enter into force for the purposes of this question. *New WTO food subsidy rules would include either the maximum amount of allowed food subsidy being increased (from 10%), or the base year used to calculate food prices being changed (from 1986-88) (http://www.nytimes.com/2014/08/04/opinion/global-trade-talks-suffer-another-setback.html?_r=0). Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP).","false",4,date,"2014-08-27","2015-12-31","",closed,"2014-08-27 13:00:00","2015-06-11 06:00:00","2014-08-27 13:00:00","2014-11-27 06:00:00"
"1420","When will China officially declare an *Air-Defense Identification Zone (ADIZ) over the South China Sea?","*An Air-Defense Identification Zone (ADIZ) is an area extending beyond a country's territory in which unidentified aircraft are eligible for interception. For more information, see http://www.ft.com/intl/cms/s/0/26cf55ce-58da-11e3-a7cb-00144feabdc0.html#axzz39dxcogMz. The official declaration of a new ADIZ over any part of the South China Sea would count, as would an extension of the existing Chinese ADIZ in the East China Sea. For more information on the conflict in the South China Sea, see http://www.cfr.org/china/south-china-sea-tensions/p29790. Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP) or **official announcements.","false",5,date,"2014-08-27","2015-12-31","",active,"2014-08-27 06:00:00","2015-06-11 06:00:00",,
"1421","When will the New Development Bank **officially announce that a loan will be made to a country?","Brazil, Russia, India, China, and South Africa (when grouped together, the BRICS) created the New Development Bank in July 2014, with the intent to extend development loans as a counterweight to the IMF and World Bank (http://www.washingtonpost.com/blogs/monkey-cage/wp/2014/07/17/what-the-new-bank-of-brics-is-all-about/). The actual disbursement of a loan is not required for a ""yes"" resolution. Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP) or **official announcements.","false",5,date,"2014-08-27","2015-12-31","",active,"2014-08-26 06:00:00","2015-06-11 06:00:00",,
"1422","When will Islamic State (IS) fighters **attack a country other than Iraq or Syria?","The insurgent group Islamic State (IS), also known as ISIL or ISIS, has posed a threat to the Middle East in recent months (http://www.cfr.org/iraq/islamic-state-iraq-syria/p14811). Changes in Islamic State's name or composition are irrelevant, so long as the group does not disband entirely; an official successor group will count. Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP).","false",5,date,"2014-08-27","2015-12-31","",voided,"2014-08-27 06:00:00","2015-06-11 06:00:00",,
"1423","When will China **officially announce a *peak year for its carbon emissions?","China faces international pressure to announce a peak year (or ""cap"" year) for its carbon emissions. *A peak year is the one in which the maximum emission level is reached and would subsequently be reduced in years to follow (http://dotearth.blogs.nytimes.com/2014/07/15/china-clarifies-its-plans-on-setting-a-co2-emissions-peak/). Outcome will be determined by credible open source media (e.g., Reuters, BBC, AP) or **official announcements.","false",5,date,"2015-01-01","2015-12-31","",closed,"2014-09-03 13:00:00","2015-05-31 06:00:00","2014-09-03 13:00:00","2014-11-11 06:00:00"
"1424","What will the highest end-of-day close for the U.S. dollar-Russian ruble exchange rate be **between 3 September 2014 and 30 November 2014?","Outcome will be determined by the highest end-of-day closing value reported by Bloomberg, at http://www.bloomberg.com/quote/USDRUB:CUR. For historical trends, see http://www.bloomberg.com/quote/USDRUB:CUR/chart. In case of delayed reporting or problems with the Bloomberg website, reporting by other credible open sources may be used.","false",5,number,"30","45","",closed,"2014-09-03 13:00:00","2014-11-29 06:00:00","2014-09-03 13:00:00","49.467"
"1425","When will ambassadors from Bahrain, Saudi Arabia, or the United Arab Emirates officially return to their posts in Qatar?","In March 2014, Bahrain, Saudi Arabia, and the United Arab Emirates withdrew their ambassadors from Qatar over tensions among the countries on how to handle regional issues (http://www.bbc.com/news/world-middle-east-26447914). A ""yes"" resolution requires the official, physical return of at least one of the ambassadors to their post in Qatar; an announcement of the intent to send an ambassador back to Qatar will not suffice. Furthermore, the question refers only to those with the rank/title of ambassador; any other official personnel, including charges d'affaires, will not suffice. Whether the same ambassador returns or a new ambassador is appointed to the post in Qatar is irrelevant for the resolution of the question. Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP).","false",5,date,"2014-09-03","2015-06-11","",closed,"2014-09-03 13:00:00","2015-05-31 06:00:00","2014-09-03 13:00:00","2014-11-17 06:00:00"
"1426","How many European banks will *fail the European Central Bank's *comprehensive assessment?","The European Central Bank (ECB) will become the new central supervisor for the entire euro-area banking system in November 2014; in preparation, European banks must undergo a *comprehensive assessment by the ECB, which includes asset quality reviews and stress tests to be completed in October 2014 (http://online.wsj.com/articles/ecb-will-incorporate-asset-review-findings-into-stress-tests-1407490720, http://www.bloomberg.com/news/2014-08-08/ecb-says-banks-bending-stress-test-rules-to-be-shown-red-light.html). A *failure of this comprehensive assessment will be indicated by banks receiving an initial ""red light"" result. Any subsequent revisions to initial ratings, including revisions to red light ratings, will be irrelevant for the resolution of the question. Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP) or **official announcements by the ECB (http://www.ecb.europa.eu/ssm/assessment/html/index.en.html).","false",5,number,"0","60","banks",voided,"2014-09-03 13:00:00","2014-12-01 06:00:00",,
"1427","When will Russia officially annex any *additional Ukrainian territory?","In March 2014, Russia signed a treaty with the government of the Republic of Crimea officially incorporating the latter into the former (http://www.reuters.com/article/2014/03/18/us-ukraine-crisis-idUSBREA1Q1E820140318). Russia will be considered to have officially annexed Ukrainian territory if it incorporates *additional territory (i.e., aside from Crimea) that currently belongs to Ukraine, including contested territory claimed by separatist rebels. A ""yes"" resolution does not require that any other country recognize the annexation, only that Russia **officially announces the incorporation, accession, or other similar process, of Ukrainian territory into the Russian Federation (http://www.washingtonpost.com/world/russias-putin-prepares-to-annex-crimea/2014/03/18/933183b2-654e-45ce-920e-4d18c0ffec73_story.html). Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP) or **official announcements.","false",5,date,"2014-09-03","2015-12-15","",active,"2014-09-03 13:00:00","2015-12-31 06:00:00",,
"1428","When will Nawaz Sharif **vacate the office of Prime Minister of Pakistan?","Pakistani Prime Minister Nawaz Sharif is facing pressure to resign, but vows to remain in office (http://www.bloomberg.com/news/2014-08-27/sharif-says-pakistan-s-law-and-constitution-will-be-upheld.html). **A leader will be deemed to have vacated their office if they have 1) died; 2) resigned their office; 3) been stripped of their office and/or replaced (by, e.g., judicial rulings, electorate action, or military coups); 4) fled the country, gone into exile, or disappeared entirely from public view such that it is unclear whether they are alive or residing within the nation they govern; or 5) been deemed in a prolonged state of mental incapacitation. In the first three situations, the question will close immediately; for options 4 and 5, Administrator will typically observe a three-week waiting period, after which the question will be closed retroactively to when the circumstance was first reported in the media. Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP) or **official announcements.","false",5,date,"2014-09-03","2015-06-11","",active,"2014-09-03 13:00:00","2015-12-31 06:00:00",,
"1429","When will **national military force(s) from one or more countries *intervene in Syria?","Syria, destabilized by civil war, is one of the countries out of which the Islamic State (IS) is operating (http://www.nytimes.com/2014/08/23/world/middleeast/assad-supporters-weigh-benefits-of-us-strikes-in-syria.html). An *intervention, in this case, will be considered the use of **national military force(s) to oppose armed groups in Syria (e.g., airstrikes, the deployment of troops). The provision of support services alone will not be sufficient (e.g., sending military advisers, providing surveillance, or transferring military equipment). For the purposes of this question, the countries represented must acknowledge the intervention, though they do not have to use this term specifically. Whether the intervention is done with the assent of the Syrian government is irrelevant. Inadvertent shelling or border crossing would not count. Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP).","false",5,date,"2014-09-03","2015-06-11","",closed,"2014-09-03 13:00:00","2014-11-30 06:00:00","2014-09-03 13:00:00","2014-09-22 06:00:00"
"1430","When will there next be a **lethal confrontation between China's **national military forces and the **national military forces of another country in the South China Sea region?","For more information on conflict in the South China Sea, see http://www.cfr.org/china/south-china-sea-tensions/p29790. For the purposes of this question, **national military forces includes law enforcement and coast guards. Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP).","false",5,date,"2014-09-17","2015-12-31","",active,"2014-09-17 13:00:00","2015-06-15 06:00:00",,
"1431","**As of 24 November 2014, how many centrifuges for uranium activity will Iran have agreed to operate?","Iran and the P5+1 remain at odds over the number of centrifuges required for Iran to maintain a civil nuclear enrichment program (http://www.reuters.com/article/2014/09/11/us-iran-nuclear-idUSKBN0H60YP20140911, http://www.economist.com/news/middle-east-and-africa/21608803-west-and-iran-will-negotiate-four-more-months-gap-wide-time). Outcome will be determined by **official announcements or credible open source media reporting (e.g., Reuters, BBC, AP). There must be evidence that both Iran and the P5+1 have agreed on the number of operational centrifuges.","false",5,number,"2000","40000","centrifuges",voided,"2014-09-17 13:00:00","2015-06-15 06:00:00",,
"1432","When will the VSTOXX Index next close at or above 23.00?","The VSTOXX is an index representing the volatility of the EURO STOXX 50 index. Outcome will be determined according to the STOXX website, at http://www.stoxx.com/indices/index_information.html?symbol=V2TX. Historical data can be found under the ""Chart"" tab. In case of problems with the STOXX website, data reported by other credible open sources may be used. ","false",4,date,"2014-09-17","2015-06-11","",closed,"2014-09-17 13:00:00","2015-06-11 06:00:00","2014-09-17 13:00:00","2014-10-09 06:00:00"
"1433","When will the Oil Volatility Index (OVX) next close above 25.00?","A high value for the Oil Volatility Index (OVX) is representative of larger price deviations from the mean daily price of West Texas Intermediate (WTI) crude oil. Outcome will be determined by the closing price quote from the Chicago Board Options Exchange (CBOE) at http://www.cboe.com/micro/oilvix/introduction.aspx. In case of problems with the CBOE website, data reported by other credible open sources may be used.","false",4,date,"2014-09-17","2015-06-11","",closed,"2014-09-17 13:00:00","2015-06-04 06:00:00","2014-09-17 13:00:00","2014-10-07 06:00:00"
"1434","When will Bulgaria **officially announce that work on the South Stream Pipeline project will resume?","Bulgaria is a critical point for Russia's South Stream Pipeline project to bring gas into southeastern Europe and Austria (http://www.nytimes.com/2014/07/01/business/international/south-stream-pipeline-project-in-bulgaria-is-delayed.html?_r=0). In June 2014, pressured by the EU and the US to put an end to South Stream, Bulgaria announced that work on the project would be suspended despite Russian pressure to continue (http://www.ft.com/intl/cms/s/0/828f0226-efe1-11e3-bee7-00144feabdc0.html?siteedition=intl#axzz3CMUiTZhx, http://www.bbc.com/news/business-28854089). **Official announcements about the resumption of any work related to the project (e.g., contract negotiations, construction) would count. Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP). If the resolution criteria are not met, GJP will assume the following as the ""status quo"" outcome: Bulgaria has not **officially announced that work on the South Stream Pipeline project will resume.","false",4,date,"2014-09-17","2015-06-11","",active,"2014-09-17 13:00:00","2015-06-11 06:00:00",,
"1435","When will NATO invite any new country to join the *Membership Action Plan (MAP)?","NATO *Membership Action Plans (MAPs) are ""programs of advice, assistance and practical support tailored to the individual needs of countries wishing to join the Alliance"" (http://www.nato.int/cps/en/natohq/topics_49212.htm, http://www.bbc.com/news/world-europe-28978699). Invitations to the MAP will count even if they come with conditions, e.g.,  requiring specific reforms to be instituted first. Changes to the status of existing MAP invitations will not count for the purposes of this question (i.e., Bosnia and Herzegovina, Macedonia, and Montenegro). Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP). If the resolution criteria are not met, GJP will assume the following as the ""status quo"" outcome: NATO has not invited any new countries to join the Membership Action Plan (MAP).","false",4,date,"2014-09-17","2015-12-31","",active,"2014-09-17 13:00:00","2015-06-11 06:00:00",,
"1436","How many Eurozone banks will fail the European Central Bank's *comprehensive assessment?","The European Central Bank (ECB) will become the new central supervisor for the entire euro-area banking system in November 2014; before then, Eurozone-area banks must undergo a *comprehensive assessment by the ECB (http://www.ecb.europa.eu/ssm/assessment/html/index.en.html). According to the ECB, failing banks will have either fallen short of an 8% minimum capital ""hurdle rate"" in an asset quality review and baseline-scenario stress test or will have fallen short of a minimum capital hurdle rate of 5.5% in an adverse-scenario stress test (e.g., http://www.ecb.europa.eu/press/pr/date/2014/html/pr140429_1.en.html, http://www.ecb.europa.eu/ssm/assessment/html/index.en.html, and http://www.ecb.europa.eu/pub/pdf/other/comprehensiveassessmentdisclosuretemplate201407enen.pdf [boxes at the bottom of page 1]). Outcome will be determined by the ECB or credible open source media reporting (e.g., Reuters, BBC, AP).","false",4,number,"2","40","banks",closed,"2014-09-17 13:00:00","2014-10-26 07:00:00","2014-09-17 13:00:00","25.0"
"1437","When will the Mangyongbong-92 **officially resume transit between North Korea and Japan?","The Mangyongbong-92 is a North Korean passenger ferry that has been banned from entry into Japanese ports since 2006 (http://bigstory.ap.org/article/north-korean-ship-symbolizes-hopes-japan-ties). Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP) or **official announcements. There must be evidence that both North Korea and Japan have agreed on the ferry **officially resuming transit.","false",5,date,"2014-09-24","2015-06-11","",active,"2014-09-24 13:00:00","2015-06-30 06:00:00",,
"1438","When will Russia next *initiate a World Trade Organization (WTO) dispute against the European Union, Canada, or the United States?","Russian officials have complained that sanctions imposed since spring 2014 by the EU, Canada, and the US violate the principles of the WTO, and have hinted at filing a dispute in protest of those sanctions (http://www.reuters.com/article/2014/09/18/us-ukraine-crisis-putin-idUSKBN0HD17V20140918). *Initiation of a dispute would be evidenced by a formal request for WTO consultations. The outcome of those consultations is irrelevant. Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP), **official announcements, or the WTO's Russia page at http://www.wto.org/english/thewto_e/countries_e/russia_e.htm.","true",4,date,"2014-09-24","2015-12-31","",active,"2014-09-24 13:00:00","2015-06-15 06:00:00",,
"1439","By how much will Brazil's *economy grow in 2014, in percentage terms, relative to 2013?","Brazil's GDP growth forecast has been steadily revised downward (http://www.reuters.com/article/2014/09/22/brazil-economy-idUSE4N0ON01Z20140922). *Economic growth refers to year over year growth in real GDP. Outcome will be determined by official GDP data from Brazil or credible open source media coverage (e.g., Reuters, BBC, AP) of that data.","false",5,number,"-0.5","2","%",closed,"2014-09-24 13:00:00","2015-06-14 06:00:00","2014-09-24 13:00:00","0.1"
"1440","When will Mahmoud Abbas **vacate the office of President of the Palestinian Authority?","Palestinian Authority President Mahmoud Abbas' political clout has been challenged after the most recent crisis in Gaza (http://www.reuters.com/article/2014/09/18/us-palestinians-successor-insight-idUSKBN0HD19720140918, http://www.nytimes.com/2014/08/26/world/middleeast/abbas-seen-as-ready-to-seek-mideast-pact-on-his-own.html). Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP) or **official announcements.","true",5,date,"2014-09-24","2015-06-11","",active,"2014-09-24 13:00:00","2015-06-11 06:00:00",,
"1441","When will the United Kingdom **officially appoint an ambassador to Iran?","In June 2014, the UK officially announced that its embassy in Tehran would be reopened after closing in November 2011 following an attack by protestors (http://www.bbc.com/news/uk-politics-27882932). While the UK and Iran agreed on the appointment of non-resident charges d'affaires in October 2013, only an appointment at the ambassadorial level will count for the purposes of this question (https://www.gov.uk/government/news/appointment-of-uk-non-resident-charge-daffaires-to-iran). Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP) or the UK's embassy website (https://www.gov.uk/government/world/organisations/uk-for-iranians).","true",5,date,"2014-09-24","2015-12-31","",active,"2014-09-24 13:00:00","2015-06-15 06:00:00",,
"1442","When will the World Health Organization next report any *confirmed cases of Ebola in a European Union member state?","Outcome will be determined by the World Health Organization's outbreak news page for Ebola, at http://www.who.int/csr/don/archive/disease/ebola/en/. European patients whose cases of Ebola have been confirmed as part of the outbreak in West Africa and are transported back to Europe for treatment will not count. *Cases reported as ""suspected"" prior to the question's close date will not count, even if they are ""confirmed"" after the question's close date. For a list of EU member states, see http://europa.eu/about-eu/countries/member-countries/index_en.htm.","false",5,date,"2014-09-24","2015-12-31","",closed,"2014-09-24 13:00:00","2015-06-15 06:00:00","2014-09-24 13:00:00","2014-10-09 06:00:00"
"1443","When will the Islamic State **attack Bahrain, Jordan, Qatar, Saudi Arabia, or the United Arab Emirates?","Bahrain, Jordan, Qatar, Saudi Arabia, and the United Arab Emirates have joined the United States in carrying out airstrikes in Syria against the Islamic State (IS), also known as ISIL or ISIS (http://www.bbc.com/news/world-middle-east-29321136). For the purposes of this question, **attacks could include individual acts of violence (e.g., the use of improvised explosive devices or suicide bombings). Changes in Islamic State's name or composition are irrelevant, so long as the group does not disband entirely; an official successor group will count, but affiliated groups, and groups or individuals claiming to be inspired by IS, will not. **Attacks on the relevant countries' embassies in Iraq or Syria would not count. The execution of captured citizens from the relevant countries would not, in the absence of an **attack, be sufficient for a ""yes"" resolution. Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP).","true",5,date,"2014-10-01","2015-12-31","",closed,"2014-10-01 13:00:00","2015-06-15 06:00:00","2014-10-01 13:00:00","2014-11-03 06:00:00"
"1444","When will a trilateral meeting take place between Chinese President Xi Jinping, Japanese Prime Minister Shinzo Abe, and South Korean President Park Geun-hye?","A trilateral meeting of heads of state from China, Japan, and South Korea was held annually from 2008 to 2012, but regional tensions led to its cancellation; officials have recently discussed resuming a formal meeting at the head of state level (http://www.bloomberg.com/news/2014-09-26/abe-calls-for-unconditional-summit-with-china-in-november.html). Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP).","true",5,date,"2014-10-01","2015-06-11","",active,"2014-10-01 13:00:00","2015-06-15 06:00:00",,
"1445","What will be the highest end-of-day close for the U.S. dollar-Chinese renminbi exchange rate **between 1 October 2014 and 1 February 2015?","Outcome will be determined by the highest end-of-day closing value reported by Bloomberg, at http://www.bloomberg.com/quote/usdcny:cur. For historical trends, see http://www.bloomberg.com/quote/usdcny:cur/chart. In case of delayed reporting or problems with the Bloomberg website, reporting by other credible open sources may be used. ","false",5,number,"6.05","6.4","USD/CNY",closed,"2014-10-01 13:00:00","2015-06-15 06:00:00","2014-10-01 13:00:00","6.2556"
"1446","When will Russia **officially lift its embargo on food imports from the US, the EU, Canada, Australia or Norway?","In retaliation for Western sanctions, Russia has imposed an embargo on food imports from the US, the EU, Canada, Australia, and Norway. The embargo could potentially cost the European Union 5 billion euros (http://www.reuters.com/article/2014/09/03/ukraine-crisis-russia-embargo-idUSL5N0R44HB20140903) and have considerable impacts on several U.S. industries (http://www.washingtonpost.com/blogs/wonkblog/wp/2014/08/07/russias-ban-on-american-food-imports-is-going-to-hit-the-u-s-poultry-pork-and-nut-industries-the-hardest/). **Officially lifting the embargo on a subset of banned foods or specific industries from either the US, the EU, Canada, Australia, or Norway would be sufficient. Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP) or **official announcements.","true",5,date,"2014-10-01","2015-06-11","",active,"2014-10-01 13:00:00","2015-06-15 06:00:00",,
"1447","When will construction on the Nicaragua canal begin?","A ""yes"" resolution requires physical work to begin on some portion of the Nicaragua Canal itself. Physical work refers to, for example, on-site excavation or construction, which is distinct from planning, surveying, or the manufacturing or delivery of materials (http://www.theguardian.com/global-development/2014/sep/30/nicaragua-canal-forest-displace-people). Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP).","true",5,date,"2014-10-01","2015-06-11","",voided,"2014-10-01 13:00:00","2015-06-15 06:00:00",,
"1448","When will Hong Kong Chief Executive Leung Chun-ying **vacate office?","Mr. Leung has become a target of the recent protests in Hong Kong, particularly as talks between the government and protest leaders have broken down (http://www.nytimes.com/2014/10/02/world/asia/for-hong-kong-leader-pressure-builds-from-both-sides.html, http://www.washingtonpost.com/world/asia_pacific/hong-kong-government-backs-out-of-talks-students-vow-new-protests/2014/10/09/db79d8fe-4fb6-11e4-babe-e91da079cb8a_story.html). Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP).","false",5,date,"2014-10-15","2015-12-31","",active,"2014-10-15 13:00:00","2015-06-15 06:00:00",,
"1448","When will Hong Kong Chief Executive Leung Chun-ying **vacate office?","Mr. Leung has become a target of the recent protests in Hong Kong, particularly as talks between the government and protest leaders have broken down (http://www.nytimes.com/2014/10/02/world/asia/for-hong-kong-leader-pressure-builds-from-both-sides.html, http://www.washingtonpost.com/world/asia_pacific/hong-kong-government-backs-out-of-talks-students-vow-new-protests/2014/10/09/db79d8fe-4fb6-11e4-babe-e91da079cb8a_story.html). Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP).","false",5,date,"2014-10-15","2015-12-31","",voided,"2014-10-15 13:00:00","2015-06-15 06:00:00",,
